order_id,customer_id,product_id,order_date,quantity,unit_price,status
ORD001,C001,P001,2024-01-15,1,1299.99,completed
ORD002,C001,P002,2024-01-15,2,29.99,completed
ORD003,C002,P003,2024-01-16,1,249.99,completed
ORD004,C003,P004,2024-01-16,3,49.99,completed
ORD005,C004,P005,2024-01-17,1,599.99,completed
ORD006,C005,P006,2024-01-17,1,149.99,completed
ORD007,C006,P007,2024-01-18,2,399.99,completed
ORD008,C007,P008,2024-01-18,4,45.99,completed
ORD009,C008,P009,2024-01-19,1,79.99,completed
ORD010,C009,P010,2024-01-19,1,189.99,completed
ORD011,C010,P001,2024-01-20,1,1299.99,completed
ORD012,C011,P002,2024-01-20,5,29.99,completed
ORD013,C012,P003,2024-01-21,2,249.99,completed
ORD014,C001,P004,2024-01-21,1,49.99,completed
ORD015,C002,P005,2024-01-22,1,599.99,pending
ORD016,C003,P006,2024-01-22,2,149.99,completed
ORD017,C004,P007,2024-01-23,1,399.99,completed
ORD018,C005,P008,2024-01-23,3,45.99,completed
ORD019,C006,P009,2024-01-24,2,79.99,completed
ORD020,C007,P010,2024-01-24,1,189.99,completed
ORD021,C008,P001,2024-01-25,1,1299.99,completed
ORD022,C009,P002,2024-01-25,3,29.99,completed
ORD023,C010,P003,2024-01-26,1,249.99,cancelled
ORD024,C011,P004,2024-01-26,2,49.99,completed
ORD025,C012,P005,2024-01-27,1,599.99,completed
ORD026,C001,P006,2024-01-27,1,149.99,completed
ORD027,C002,P007,2024-01-28,1,399.99,completed
ORD028,C003,P008,2024-01-28,2,45.99,completed
ORD029,C004,P009,2024-01-15,1,79.99,completed
ORD030,C005,P010,2024-01-16,1,189.99,completed
